'date','min_prcp','max_prcp','avg_prcp','sum_prcp','min_snow','max_snow','avg_snow','sum_snow'
'2013-08-04',0.0,0.65,0.10142857142857142349,0.70999999999999996447,0.0,0.0,0.0,0.0
'2013-08-05',0.0,0.46000000000000005329,0.074285714285714288251,0.52000000000000001776,0.0,0.0,0.0,0.0
'2013-08-06',0.0,0.46000000000000005329,0.081428571428571423496,0.57000000000000010658,0.0,0.0,0.0,0.0
'2013-08-07',0.0,0.46000000000000005329,0.072857142857142855874,0.50999999999999996447,0.0,0.0,0.0,0.0
'2013-08-08',0.0,0.46000000000000005329,0.072857142857142855874,0.50999999999999996447,0.0,0.0,0.0,0.0
'2013-08-09',0.0,0.46000000000000005329,0.08,0.56000000000000005329,0.0,0.0,0.0,0.0
'2013-08-10',0.0,0.85,0.2014285714285714679,1.4100000000000001421,0.0,0.0,0.0,0.0
'2013-08-11',0.0,0.85,0.2014285714285714679,1.4100000000000001421,0.0,0.0,0.0,0.0
'2013-08-12',0.0,0.85,0.13571428571428569842,0.95,0.0,0.0,0.0,0.0
'2013-08-13',0.0,0.85,0.12857142857142858005,0.9,0.0,0.0,0.0,0.0
'2013-08-14',0.0,0.85,0.12857142857142858005,0.9,0.0,0.0,0.0,0.0
'2013-08-15',0.0,0.85,0.12857142857142858005,0.9,0.0,0.0,0.0,0.0
'2013-08-16',0.0,0.85,0.12142857142857141905,0.85,0.0,0.0,0.0,0.0
'2013-08-17',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-08-18',0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'2013-08-19',0.0,0.25,0.035714285714285711748,0.25,0.0,0.0,0.0,0.0
'2013-08-20',0.0,0.25,0.035714285714285711748,0.25,0.0,0.0,0.0,0.0
'2013-08-21',0.0,0.25,0.035714285714285711748,0.25,0.0,0.0,0.0,0.0
'2013-08-22',0.0,0.25,0.035714285714285711748,0.25,0.0,0.0,0.0,0.0
'2013-08-23',0.0,0.25,0.041428571428571423496,0.29,0.0,0.0,0.0,0.0
'2013-08-24',0.0,0.25,0.042857142857142864755,0.3,0.0,0.0,0.0,0.0
'2013-08-25',0.0,0.42999999999999998223,0.10428571428571429269,0.72999999999999998223,0.0,0.0,0.0,0.0
'2013-08-26',0.0,0.42999999999999998223,0.068571428571428576503,0.47999999999999998223,0.0,0.0,0.0,0.0
'2013-08-27',0.0,0.42999999999999998223,0.068571428571428576503,0.47999999999999998223,0.0,0.0,0.0,0.0
'2013-08-28',0.0,0.42999999999999998223,0.068571428571428576503,0.47999999999999998223,0.0,0.0,0.0,0.0
'2013-08-29',0.0,0.42999999999999998223,0.068571428571428576503,0.47999999999999998223,0.0,0.0,0.0,0.0
'2013-08-30',0.0,0.42999999999999998223,0.07,0.49000000000000003552,0.0,0.0,0.0,0.0
'2013-08-31',0.0,0.42999999999999998223,0.072857142857142855874,0.50999999999999996447,0.0,0.0,0.0,0.0
'2013-09-01',0.0,0.05,0.011428571428571427937,0.08,0.0,0.0,0.0,0.0
'2013-09-02',0.0,0.05,0.011428571428571427937,0.08,0.0,0.0,0.0,0.0
