'Borough','Zone','trips','avg_dur_min','avg_dur_sec'
'Brooklyn','Boerum Hill',177928,19.490007193921137229,1169.3891630322377217
'Manhattan','Stuy Town/Peter Cooper Village',76075,16.873164640157738425,1012.3876963522839833
'Manhattan','Battery Park City',164797,19.438636625666728008,1166.2665400462388642
'Staten Island','Westerleigh',24261,14.828448950991304222,889.82045257821198447
'Brooklyn','South Williamsburg',54588,15.526580933538505213,931.41505459075251138
'Brooklyn','Cobble Hill',47298,18.720432153579434242,1123.4875470421581411
'Queens','Saint Michaels Cemetery/Woodside',11618,12.418746772249957821,744.81941814425889347
'Queens','Ridgewood',203868,17.696225008338728912,1061.8004198795298886
'Brooklyn','Green-Wood Cemetery',1550,17.556774193548387863,1053.0116129032258687
'Brooklyn','Sheepshead Bay',112026,15.575848463749486505,934.78976309071111217
'Queens','Baisley Park',119460,16.039159551314248197,962.5207182320441035
'Queens','Briarwood/Jamaica Hills',75436,16.670833554271169418,1000.4886791452356487
'Bronx','Mount Hope',199348,15.004424423621005146,900.54425928526988798
'Manhattan','Morningside Heights',177422,17.651706101836300177,1059.188150285759411
'Bronx','Norwood',156302,15.859214853296823122,951.4436219626107416
'Bronx','Pelham Parkway',117703,16.078111857811610008,964.93233817319872258
'Manhattan','Inwood',130205,16.252102453822818262,975.15855765907613061
'Queens','Steinway',163746,16.47647576123996771,988.53462069302455716
'Manhattan','Meatpacking/West Village West',210696,17.859983103618482402,1071.561135474807358
'Manhattan','Sutton Place/Turtle Bay North',308887,16.016964132514481811,960.99712839970603539
'Staten Island','Saint George/New Brighton',79076,15.687376700895341308,941.0957812737114736
'Brooklyn','Windsor Terrace',46775,18.986809192944949842,1139.3387707108497686
'Manhattan','East Harlem South',316545,17.399466110663571072,1044.0845124705808721
'Queens','South Jamaica',116991,15.773521040080005661,946.48784094503000119
'Bronx','Soundview/Bruckner',100483,14.475602838291054652,868.56329926455231316
'Bronx','Parkchester',95768,16.26066118118786985,975.72761256369560101
'Manhattan','Lincoln Square West',235370,16.508437778816333896,990.52826613417170875
'Staten Island','West Brighton',25899,16.656125719139733831,999.35028379474104553
'Bronx','Highbridge',139357,15.486950781087422512,929.25280394956839558
'Manhattan','TriBeCa/Civic Center',403167,18.449506035960283156,1106.9484655242118886
'Queens','Rego Park',86465,17.359047013242352441,1041.592725380211748
'Staten Island','Heartland Village/Todt Hill',32996,17.558340404897563757,1053.3932294823613595
'Brooklyn','Ocean Parkway South',36465,15.511860688331275959,930.71622103386815183
'Brooklyn','East Williamsburg',245804,17.591259702852677371,1055.369481375404872
'Manhattan','Flatiron',309776,16.487323097980475239,989.23525063271533497
'Queens','Bay Terrace/Fort Totten',22945,18.383046415341034673,1102.8367400305079115
'Queens','Sunnyside',204974,17.664625757413134898,1059.8859904182968971
'Queens','Murray Hill-Queens',63990,26.278934208470072775,1576.8382247226129244
'Manhattan','Battery Park',4882,21.843506759524786708,1311.0680049160179372
'Queens','East Elmhurst',80637,17.969344097622681033,1078.2957947344271598
'Queens','South Ozone Park',187691,14.809767117229915456,888.73877809804415761
'Bronx','Williamsbridge/Olinville',184230,15.691315203821309509,941.52379091353211038
'Staten Island','Arrochar/Fort Wadsworth',18322,18.036458901866609494,1082.0807772077285591
'Manhattan','Hamilton Heights',181376,16.824822468242763839,1009.6125396965418552
'Bronx','Kingsbridge Heights',105540,15.313947318552207477,918.87958120144030971
'Bronx','West Farms/Bronx River',101685,14.639986231990953058,878.44422481191912766
'Bronx','Belmont',110060,15.676267490459747655,940.58761584590229176
'Bronx','Westchester Village/Unionport',92018,15.326892564498248994,919.81686191832032761
'Queens','Cambria Heights',37529,17.122571877747874147,1027.3760292040821084
'Queens','Glen Oaks',24764,19.075593603618155924,1144.4583669843320095
'Brooklyn','Park Slope',301182,19.440301877270222519,1166.4367292866106851
'Staten Island','Eltingville/Annadale/Prince''s Bay',13082,16.791010548845743954,1007.22037914691942
'Queens','Far Rockaway',67725,24.039896640826876605,1442.5351347360648723
'Manhattan','Two Bridges/Seward Park',170368,18.114786814425244187,1086.9390495867770063
'Bronx','Eastchester',103462,15.078009317430554503,904.73549709071932056
'Manhattan','East Harlem North',325581,16.477844223096558273,988.73852896821361468
'Queens','Long Island City/Hunters Point',222195,18.612137986903395159,1116.659497288417846
'Brooklyn','Gravesend',50696,16.345313239703330054,980.69863500078913176
'Queens','Forest Hills',202930,17.624545409747202739,1057.5085251071798531
'Staten Island','Rossville/Woodrow',7700,17.166753246753245321,1029.9006493506492887
'Manhattan','Greenwich Village North',264173,17.047597597029220395,1022.7477562052140758
'Bronx','Mott Haven/Port Morris',229669,16.760315932929565896,1005.674649169021384
'Staten Island','South Beach/Dongan Hills',26885,18.175674167751534326,1090.4638646085176389
'Queens','Glendale',82127,16.162504413895550925,969.83990648629561093
'Manhattan','SoHo',215251,17.889909919117680914,1073.3164166484707724
'Bronx','Hunts Point',119710,16.09657505638626862,966.05341241333224644
'Manhattan','Midtown Center',483224,18.524887008923396791,1111.5274965647401472
'Manhattan','Chinatown',77615,18.950666752560717753,1137.0160922502092759
'Manhattan','Financial District South',78600,21.26706106870229096,1276.2269083969466354
'Manhattan','Little Italy/NoLiTa',253023,17.949237816324998817,1076.9421119819146959
'Queens','Bellerose',24390,17.150963509635097636,1029.0303403034031237
'Bronx','Pelham Bay',44926,15.313537817744736102,919.11022570449194546
'Staten Island','Oakwood',10949,18.367704813224950299,1102.097908484793054
'Manhattan','Manhattan Valley',172500,16.777976811594204065,1006.7455768115942671
'Queens','Willets Point',2213,20.777225485765926649,1246.14595571622222
'Manhattan','Greenwich Village South',240402,17.008123892480096372,1020.4968095107360692
'Brooklyn','Carroll Gardens',77416,18.393626640487752865,1103.4965381833212738
'Queens','Jamaica',222145,16.279087983074116863,976.85649913344896333
'Queens','Bayside',60409,16.328278898839578836,979.86333162277148289
'Queens','Astoria Park',1396,17.318051575931232122,1039.7428366762178075
'Queens','Jamaica Bay',78,28.435897435897432572,1707.7435897435897516
'Brooklyn','Brownsville',263540,16.678010928132351864,1000.7306746603930047
'Manhattan','Central Harlem North',379636,16.297727296673656383,977.92336079823822814
'Bronx','Morrisania/Melrose',155583,16.237455248966790044,974.41654936593327107
'Bronx','Van Nest/Morris Park',148675,16.050102572725744032,963.04304018833022382
'Queens','Queens Village',90845,16.63739336232043442,998.4795861082062629
'Queens','Old Astoria',120382,17.217100563207125674,1033.0518931401704296
'Queens','Fresh Meadows',28603,16.876166835646611019,1012.4681676747193659
'Queens','Woodside',140613,15.855696130514247421,951.34138379808401708
'Manhattan','Clinton West',230141,17.669072438200927877,1060.1708170208699044
'Brooklyn','Sunset Park West',160556,19.099691073519519335,1146.1076945115724612
'Staten Island','Stapleton',62147,23.438556969765231841,1406.4430141438847954
'Staten Island','Port Richmond',22583,16.949519550104059639,1016.953194881105249
'Manhattan','Manhattanville',92770,16.575358413280156355,994.71500485070603048
'Bronx','Allerton/Pelham Gardens',79265,15.065363022771713907,904.11284930297100004
'Brooklyn','Bensonhurst East',88734,16.371717718123828255,982.1377036986950415
'Queens','Rosedale',59334,16.116240266963290928,967.00702801092113247
'Staten Island','Charleston/Tottenville',13165,17.707633877706037139,1062.1330041777439223
'Brooklyn','Borough Park',172245,16.257627217045489409,975.29816830677233951
'Manhattan','Times Sq/Theatre District',411519,19.646733200654161066,1178.7964589727328856
'Brooklyn','Bath Beach',37672,16.881264599702696216,1012.9161180717773937
'Bronx','Schuylerville/Edgewater Park',109207,16.021921671687710642,961.38310730997105224
'Staten Island','Mariners Harbor',45161,15.84280684661544214,950.55040853834054104
'Manhattan','West Chelsea/Hudson Yards',348791,18.023911167432647317,1081.4915579817139246
'Manhattan','Gramercy',371924,16.419970208967424873,985.22858164571260886
'Manhattan','Midtown East',403255,17.507467979318295903,1050.4581220319648693
'Queens','Woodhaven',111876,17.168329221638241044,1030.1177017412135317
'Manhattan','Alphabet City',122990,17.824465403691355902,1069.5220912269289836
'Brooklyn','Kensington',67987,18.477032373836173917,1108.6661273478752853
'Brooklyn','Ocean Hill',179901,17.361787872218609862,1041.8394005591964379
'Queens','Flushing Meadows-Corona Park',17047,24.186191118671906963,1451.427523904499317
'Queens','Douglaston',17748,17.606378183457291441,1056.1235068740140174
'Bronx','City Island',7759,23.254800876401597875,1395.2484856295914639
'Bronx','University Heights/Morris Heights',183443,15.360215434767203745,921.68863352649061937
'Brooklyn','Prospect Heights',112567,18.812245151776274099,1128.7222098838913808
'Bronx','Van Cortlandt Park',21897,15.149792208978398733,909.23592272914088852
'Brooklyn','Brooklyn Navy Yard',27056,18.432177705499704245,1106.0619455943228039
'Staten Island','Freshkills Park',786,17.419847328244273398,1044.8320610687023002
'Queens','Elmhurst',246253,16.542953791425891729,992.6109692064665424
'Queens','North Corona',85988,15.525177931804437392,931.54423873098579633
'Manhattan','Washington Heights North',203005,17.021960050245066753,1021.2921553656313378
'Brooklyn','Flatbush/Ditmas Park',304834,18.472312799753307643,1108.3506465814179087
'Queens','Whitestone',43750,24.576388571428569029,1474.5381028571427073
'Bronx','Bedford Park',184629,15.379615336702250338,922.80861619788883132
'Queens','Queensboro Hill',42418,23.590480456410012344,1415.6413786600028359
'Brooklyn','Marine Park/Mill Basin',104286,18.045212204898067653,1082.8009320522409275
'Manhattan','East Village',572276,16.654993394795518213,999.3093507328632441
'Queens','Laurelton',61747,15.780863847636322105,946.74873273195458978
'Brooklyn','Manhattan Beach',37735,15.843407976679475979,950.76997482443363907
'Manhattan','Clinton East',459173,17.665857966387394917,1059.9934447365153555
'Staten Island','Bloomfield/Emerson Hill',46416,16.703765942778354691,1002.1968071354705465
'Bronx','Bronxdale',100726,15.685155769116216895,941.15882691658558911
'Bronx','Pelham Bay Park',7961,15.802914206757945336,948.18904660218557012
'Queens','Ozone Park',53590,15.671319275984325614,940.39066990110100618
'Brooklyn','Red Hook',63855,20.708433168898285892,1242.4517735494480241
'Queens','Springfield Gardens North',75061,16.346904517658971123,980.65317541732728301
'Brooklyn','Marine Park/Floyd Bennett Field',3598,21.713451917732071727,1302.507782101167244
'Brooklyn','Stuyvesant Heights',313568,18.872046892540055296,1132.3811645320949192
'Queens','Jamaica Estates',50828,16.838848666089556438,1010.3164791060044169
'Brooklyn','Columbia Street',17436,18.010954347327370328,1080.9129387474190053
'Bronx','Bronx Park',15648,19.901904396728017587,1193.9022239263803371
'Manhattan','Roosevelt Island',19646,23.891988190980351092,1433.6505650005088696
'Queens','Broad Channel',1592,18.129396984924621705,1088.1111809045225236
'Bronx','Crotona Park',5848,15.787790697674419782,947.66638166894665573
'Bronx','Rikers Island',15,24.599999999999999644,1482.533333333333303
'Staten Island','Great Kills Park',63,18.174603174603173982,1085.650793650793755
'Queens','Flushing',153299,32.91738367504028595,1974.9878864180455906
'Brooklyn','Coney Island',91813,20.362377876771260432,1221.8926186923420029
'Brooklyn','Starrett City',48659,17.536509176103085572,1052.1303150496310596
'Brooklyn','East New York/Pennsylvania Avenue',126280,17.498226164079824229,1049.9399033892937715
'Queens','Elmhurst/Maspeth',66595,15.589368571214055059,935.23159396351083216
'Queens','Hammels/Arverne',60146,23.324477105709440216,1399.6894556578991597
'Staten Island','Great Kills',19833,17.30212272475167623,1038.0779004689153488
'Manhattan','UN/Turtle Bay South',248941,16.732647494787922681,1003.9283766032915945
'Brooklyn','Homecrest',103090,15.43709380153264199,926.44026578717628694
'Brooklyn','Williamsburg (South Side)',259563,18.475279604566136271,1108.4548144381132228
'Brooklyn','East New York',424810,16.49145264941974176,989.5095289658906168
'Bronx','Melrose South',175700,16.606977803073419863,996.54456459874793949
'Bronx','Longwood',89396,16.327609736453531752,979.86096693364359566
'Queens','College Point',45617,30.297827564285246815,1818.1486068790142951
'Brooklyn','Downtown Brooklyn/MetroTech',151326,19.604198881884144611,1176.373795646485254
